,A,B,A_translation,B_translation
10,Brettanomyces,"usterka wina spowodowana szkodliwą formą drożdży, nazywana popularnie „brett”. Jej skutkiem jest zmiana charakteru wina poprzez dodanie smaku określanego jako „mysi”.",Brettanomyces,"The fault of wine caused by the harmful form of yeast, commonly called ""brett"". The effect is to change the nature of the wine by adding a taste called ""mouse""."
11,Brix ,amerykańska jednostka stężenia cukru rezydualnego w moszczu. Bezpośrednio związana z dojrzałością gron i potencjalną możliwą alkoholowością wina.,Brix,American unit of residual sugar in must. Directly related to the maturity of the bunch and the potential alcoholic potential of the wine.
12,Cantina,słowo oznaczające we Włoszech piwnicę lub producenta win.,Cantina,a word meaning a cellar or a wine producer in Italy.
13,Chateau,francuski termin oznaczający (szczególnie w Bordeaux) posiadłość władającą winnicami i produkującą wino. ,Chateau,French term meaning (especially in Bordeaux) a vineyard and wine producing estate.
14,Clos,"słowo oznaczające we Francji, głównie Burgundii, a także w katalońskim Priorat, winnicę otoczoną murem.",Clos,"the word signifying in France, mainly Burgundy, as well as the Catalan Priorat, vineyard walled."
15,Choroba Pierce’a,"roznoszona przez owady z grupy skoczków, nieuleczalna choroba winorośli prowadząca do jej obumarcia w ciągu kilku lat od pierwszych symptomów, którymi są plamy martwicy na liściach.",Pierce'a disease,"Incubated by insects from the group of jumpers, incurable vine disease leading to her death within a few years after the first symptoms, which are spots of necrosis on the leaves."
16,Coulure ,pochodzący z języka francuskiego termin opisujący zjawisko zachodzące z przyczyn atmosferycznych polegające na niezawiązaniu się wszystkich pąków na winoroślach w owoce.,coulure,"French-speaking term describing the phenomenon occurring due to atmospheric causes, consisting in the failure of all the buds on the vines to fruit."
17,Cru,"pochodzące z języka francuskiego słowo określające status lub jakość danej winnicy. Obecnie używany także poza Francją, raczej informacyjnie podczas rozmów a nie oficjalnie na etykietach.",Cru,"French word for the status or quality of the vineyard. Currently used outside of France, rather informative during talks and not officially on labels."
18,Cru classe,pochodzący z języka francuskiego termin używany w Bordeaux do określenia statusu klasyfikacji parceli. Zależnie od apelacji systemy stopniowania i zasad przyznawania statusu różnią się.,Raw class,"French-language term used in Bordeaux to determine the classification status of a parcel. Depending on the appeal, grading systems and rules for granting status vary."
19,Cukier resztowy,cukier pozostający w winie po przefermentowaniu do założonego pułapu alkoholu. Bezpośrednio związany ze smakiem i typem wina. Jego stężenie podaje się w gramach na litr (g/l).,Sugar rest,The sugar remains in the wine after digestion to the preset alcohol limit. Directly associated with the taste and type of wine. Its concentration is given in grams per liter (g / l).
20,Cukier rezydualny,"cukier zawarty w gronach lub moszczu, bezpośrednio związany z możliwą do osiągnięcia alkoholowości wina a także jego smakiem. Jego stężenie podaje się zależnie od regionu świata w stopniach Balling, Baume, Brix, Oeschle lub Plato.",Residual sugar,"sugar contained in grapes or must, directly related to the wine's possible alcoholic strength and its taste. Its concentration is given according to the region of the world in Balling, Baume, Brix, Oeschle or Plato."
21,Cuvee,"używane obecnie na całym świecie słowo pochodzące z języka francuskiego, oznaczające uzyskanie wina metodą zestawienia win lub gron pochodzących z kilku szczepów lub winnic.",Cuvee,"The word currently used throughout the world derives from French, meaning wine obtained by the method of compiling wines or grapes from several strains or vineyards."
22,Dokwaszanie,"dodawanie do moszczu lub gotowego wina kwasu, lub innych substancji, np. wytrawnego wina, mogących podnieść odczuwalną lub rzeczywistą kwasowość wina.",acidification,"adding to the must or finished wine of acid, or other substances, such as dry wine, which may increase the perceptible or actual acidity of the wine."
23,Domaine,francuski termin oznaczający (szczególnie w Burgundii) posiadłość produkującą wino.,Field,French term meaning (especially in Burgundy) wine estate.
24,Dosage,francuski termin określający (szczególnie w Szampanii) ilość cukru dodanego do wina musującego przed zamknięciem. ,Dosage,French term specifying (especially in Champagne) the amount of sugar added to the sparkling wine before closing.
25,Elevage,"pochodzący z języka francuskiego termin określający zbiór czynności wykonywanych w winiarni podczas dojrzewania wina, zawartych pomiędzy fermentacją a jego butelkowaniem.",Breeding,French term refers to a set of activities performed in a wine cellar during the ripening of wine between the fermentation and its bottling.
26,Enologia,termin pochodzący od greckich słów ,winemaking,a term derived from Greek words
27,En primeur ,"francuski termin oznaczający możliwość zakupu wina przed jego zabutelkowaniem, na podstawie próbek z beczek ocenianych w następnym roku po zbiorach.",In the fore,"French term denoting the possibility of buying wine before being baked, based on samples from barrels assessed in the following year after harvest."
28,Fermentacja,proces przemiany cukru zawartego w moszczu przez kultury drożdży w alkohol i dwutlenek węgla.,Fermentacja,The process of converting the sugar contained in the must through the yeast culture into alcohol and carbon dioxide.
29,Filoksera ,"pochodząca z Ameryki mszyca żywiąca się korzeniami winorośli, doprowadzając do jej obumarcia. Niektóre amerykańskie rodziny winorośli są na nią uodpornione, dlatego obecnie odmiany Vitis vinifera szczepi się na podkładkach uzyskanych z tych rodzin.",Phylloxera,"American aphid that feeds on the roots of the vine, leading to its death. Some American vine families are immune to it, so now Vitis vinifera is grafted onto the rootstock obtained from these families."
30,Filtrowanie ,"zabieg polegający na przepuszczaniu wina przez filtry o różnych sposobach działania, którego celem jest usunięcie zanieczyszczeń i drobnoustrojów w nim się znajdujących.",Filtration,"The treatment consists of passing the wine through filters with different modes of action, the purpose of which is to remove impurities and microorganisms in it."
31,Flor ,termin pochodzący z jęz. hiszpańskiego oznaczający kożuch powstający na powierzchni dojrzewającego wina z obumierających drożdży na winach Sherry. Aktualnie używany na całym świecie.,Flower,the term comes from Spanish marking a sheepskin emerging on the surface of ripening wine from dying yeast on Sherry wines. Currently used worldwide.
32,Grand Cru ,"pochodzący z języka francuskiego termin określający winnicę najwyższej jakości, głównie w Burgundii, ale także Alzacji, Szampanii i innych.",Grand Cru,"French term refers to the vineyard of the highest quality, mainly in Burgundy, but also Alsace, Champagne and other."
33,Keller,słowo oznaczające w Niemczech piwnicę win.,Keller,A word for the wine cellar in Germany.
34,Klarowanie,"technika oczyszczania wina znajdującego się w kadzi lub beczce. Do przeprowadzenia tej czynności używa się białek kurzych jaj lub bentonitu, które opadając na dno pojemnika wiążą i zabierają ze sobą zanieczyszczenia. ",clarification,"technique of cleaning the wine in the vat or barrel. Eggs or bentonite proteins are used to carry out this activity, which, when dropped to the bottom of the container, binds and removes contaminants."
35,Kożuch,"utworzona z pomielonych przed fermentacją gron masa, składająca się ze skórek, pestek i szypułek. Unosząc się na fermentującym moszczu, pozwala mu ługować ze swojego wnętrza polifenole, antocyjany, cukry i pozostałe związki ważne dla konstrukcji tworzącego się wina. ",Sheepskin coat,"composed of grained pre-fermented grapes, consisting of skins, pips and stems. Raising on the fermenting must, it allows it to leach from its interior polyphenols, anthocyanins, sugars and other compounds important for the structure of the wine to be formed."
36,Maceracja,"proces polegający na utrzymywaniu kontaktu pomiędzy fermentującym moszczem a kożuchem, dzięki czemu możliwe jest ługowanie z kożucha związków ważnych dla końcowego kształtu wina.",Maceracja,"The process of maintaining contact between fermenting must and sheepskin, so that it is possible to leach from the sheepskin of compounds important for the final shape of the wine."
37,Mączniak,"dość często spotykana choroba winorośli, przed którą winiarze mogą uchronić się stosując opryski środkami chemicznymi. Znane są dwie odmiany tej choroby: mączniak rzekomy i mączniak prawdziwy.",Powdery mildew,"A very common vine disease, which can be protected by chemical spraying. There are two variants of this disease: powdery mildew and powdery mildew."
38,Mezoklimat,"określenie warunków klimatycznych dotyczących małego obszaru, często pojedynczej winnicy, stanowiący ważny składnik jego terroir.",Mezoklimat,"Determine the climatic conditions of a small area, often a single vineyard, which is an important component of its terroir."
39,Mieszanie kożucha,czynność mająca na celu stworzenie fermentującemu moszczowi dodatkowej możliwości ługowania związków zawartych w kożuchu. Polega na zanurzaniu (mechanicznym lub manualnym) kożucha w moszczu.,Mixing sheepskin,The activity intended to create a fermenting must has the additional leaching potential of the compounds contained in the sheepskin. It depends on the immersion (mechanical or manual) sheepskin in the must.
40,Millerandange ,pochodzący z języka francuskiego termin określający zjawisko nierównomiernego zawiązywania się owoców w jednej kiści.,Millerandange,French term refers to the phenomenon of unevenly forming fruit in one bunch.
41,Moszcz,"skoncentrowany sok uzyskany po odciśnięciu lub zmieleniu gron, będący bazą do uzyskania wina, po zaszczepieniu w nim kultur drożdży zdolnych go przefermentować.",grape,"concentrated juice obtained after squeezing or grinding the grapes, which is the basis for obtaining wine, after inoculating the cultures of yeast capable of digesting it."
42,Negociant,"słowo pochodzące z języka francuskiego, oznaczające kupca i dystrybutora, często także samodzielnie zestawiającego i butelkującego zakupione od producentów wina.",Trader,"a word derived from the French language, meaning a merchant and a distributor, often also self-organizing and bottling purchased from wine producers."
43,NV,"non vintage, pochodzący z języka francuskiego termin najczęściej używany przez producentów win musujących, oznaczający użycie w cuvee win z różnych roczników.",NV,"Non vintage, derived from the French term most often used by manufacturers of sparkling wines, meaning the use in cuvee wines of various vintages."
44,Obciąg,czynność polegająca na przemieszczeniu dojrzewającego wina z jednego pojemnika (kadzi lub beczki) do drugiego. Ma na celu pozostawienie osadu powstałego w czasie dojrzewania w pierwszym pojemniku i natlenienie wina w celu uniknięcia redukcji jego aromatów.,blanket,the act of moving the ripening wine from one container (ladle or barrel) to another. It is intended to leave the precipitate formed during ripening in the first container and to oxygenate the wine to avoid reducing its aroma.
45,Odkwaszanie,proces mający na celu obniżenie stężenia kwasów w winie lub moszczu za pomocą wody lub kredy. Najczęściej stosowany w chłodnych regionach winiarskich lub zimnych rocznikach.,deacidification,A process to reduce the concentration of acids in wine or must by means of water or chalk. Most commonly used in cold wine regions or cold vintages.
46,Oeschle,niemiecka jednostka stężenia cukru rezydualnego w moszczu. Bezpośrednio związana z dojrzałością gron i potencjalną możliwą alkoholowością wina.,Oeschle,German unit of residual sugar in must. Directly related to the maturity of the bunch and the potential alcoholic potential of the wine.
47,Osad ,wynik opadania substancji stałych znajdujących się w winie lub powstających w czasie jego dojrzewania. Starzenie nad osadem (z języka francuskiego ,Parts of it,the result of the falling of the solids present in the wine or arising during its ripening. Aging of the settlement (from French
48,pH ,poprzedzony wartością cyfrową symbol oznaczenia stężenia kwasów w winie. Im wyższa jego wartość tym niższy jest poziom kwasowości wina. Najczęściej spotykaną wartością dla win wytrawnych jest przedział pomiędzy 3pH a 4pH.,pH,"preceded by a digital value symbol of the concentration of acids in wine. The higher the value, the lower the wine's acidity. The most common value for dry wines is the range between 3pH and 4pH."
49,Piece,"najczęściej dębowa beczka pochodząca z Burgundii, obecnie popularna na całym świecie. Jej pojemność wynosi 228l. Potrafi wyraźnie zmienić kształt i smak wina, szczególnie, gdy jest nowa.",Piece,"Mostly oak barrel originating from Burgundy, now popular all over the world. Its capacity is 228l. He can clearly change the shape and taste of wine, especially when it is new."
50,Podkładka,"część krzewu winorośli jednej rodziny, na której szczepi się część owocującą. Ma to na celu ochronę przed filokserą, ale także wykorzystanie jej indywidualnych cech, takich jak odporność na niskie temperatury podłoża.",Pad,"a part of the vine of one family, on which the fruiting part is grafted. This is to protect against the phylloxera, but also to use its individual features such as resistance to low substrate temperatures."
51,Polifenole,"związki chemiczne będące pochodnymi fenolu, występujące zarówno w gronach i szypułkach jak i winie. Są ważne dla konstrukcji wina, szczególnie czerwonego, a także mają właściwości zdrowotne poprzez wiązanie wolnych rodników w organizmie ludzkim.",Polyphenols,"Phenol-derived chemical compounds found in both clusters and stems and wine. They are important for the construction of wine, especially red, and also have health benefits by binding free radicals in the human body."
52,Premier cru,"pochodzący z języka francuskiego termin oznaczający winnice wyższej jakości, najczęściej używany przez producentów win w Szampanii i Burgundii.",Premier Cru,"French term refers to the vineyards of higher quality, most often used by winemakers in Champagne and Burgundy."
53,Pumping over,Czynność polegająca na przepompowywaniu podczas fermentacji moszczu i wlewaniu go od góry na kożuch pozostający w dolnej partii kadzi fermentacyjnej. Ma na celu umożliwienie mocniejszego ługowania z kożucha związków potrzebnych dla konstrukcji wina.,Pumping over,The action of pumping during the fermentation of the must and pouring it from the top to the sheepskin remaining in the bottom of the fermentation ladle. It is intended to enable the leavening of the compounds necessary for the construction of the wine.
54,Sedymentacja,"proces polegający na schłodzeniu moszczu i pozostawieniu go przez określony czas w kadzi sedymentacyjnej, aby zanieczyszczenia w nim zawarte mogły opaść na dno zbiornika. Następnie przepompowuje się moszcz do kadzi fermentacyjnej.",sedimentation,The process consists in cooling the must and leaving it for a certain time in the sediment ladle so that the impurities contained in it can fall to the bottom of the tank. Then the must is pumped into the fermenter.
55,Siarczki,związki chemiczne będące pochodnymi siarkowodoru. Ich nadmierna obecność może doprowadzić do odtlenienia wina i wprowadzić w miejsce jego naturalnych aromatów zapachu przypominającego zepsute kurze jajo.,sulphides,Chemical compounds that are derived from hydrogen sulphide. Their excessive presence can lead to deoxidation of the wine and introduce in the place of its natural aroma odor reminiscent of broken egg hen.
56,Stabilizowanie,"proces polegający na przeprowadzeniu szeregu czynności mających ustabilizować wino, m.in. filtrowanie, sedymentację czy dokwaszanie.",Stabilizowanie,"The process consists of carrying out a series of activities aimed at stabilizing the wine, among others. filtration, sedimentation or acidification."
57,Szaptalizacja,"dosładzanie moszczu przed fermentacją, mające na celu podwyższenie jego potencjalnej alkoholowości i zmianę końcowego smaku. Dozwolona w chłodniejszych strefach winiarskich przy produkcji win stołowych i regionalnych.",chaptalisation,"To ferment must before fermentation, to increase its potential alcoholic strength and change the final taste. Allowed in colder wine zones for the production of table and regional wines."
58,Tanina,"polifenole (pochodne fenolu) występujące w winie, głównie czerwonym. Są ługowane ze skórek, pestek i szypułek podczas procesu maceracji. Dają winu potencjał do dojrzewania, w czasie którego ich właściwości ściągające ulegają stopniowemu łagodzeniu.",Tanina,"Polyphenols (phenol derivatives) found in wine, mainly red. They are leached from skins, pips and stems during maceration. They give the wine the potential to ripen, during which their astringent properties are gradually softened."
59,Tłoczenie,"czynność wykonywana na surowcu pozostałym po uzyskaniu samocieku. Za pomocą pras grona są wyciskane w celu uzyskania pozostałego w nich soku, który zawiera wyższą proporcję tanin i używany jest do produkcji win niższej jakości.",expression,"action on raw material remaining after obtaining a loner. Pressed grapes are squeezed to obtain the remaining juice, which contains a higher proportion of tannin and is used to produce lower quality wines."
60,Vendange tardive,"pochodzący z języka francuskiego termin oznaczający opóźniony zbiór gron, mający na celu ubytek wody, koncentrację cukrów i pozostałych związków odpowiedzialnych za jakość moszczu. Oznaczany także w innych językach np. ",Late harvest,"French word for delayed harvesting of grapes intended for the loss of water, concentration of sugars and other compounds responsible for the quality of the must. Also referred to in other languages,"
61,Vielles vignes,"pochodzący z języka francuskiego termin oznaczający użycie do produkcji wina gron wyższej jakości pochodzących ze starych krzewów, często nawet kilkudziesięcioletnich. W innych językach oznaczany: ",Old vines,"French term refers to the use of higher quality grape wines from old bushes, often up to several decades. In other languages:"
62,Weingut,słowo oznaczające w Niemczech producenta win.,winery,A word meaning a wine producer in Germany.
63,Winiarstwo organiczne,"sposób prowadzenia winnic i przebiegu winifikacji bez użycia środków chemicznych, jedynie za pomocą dostępnych środków biologicznych oraz tradycyjnych metod fermentacji i dojrzewania wina. ",Organic Winery,"the way of running vineyards and vinification without the use of chemicals, only by means of available biological means and traditional methods of fermentation and ripening of wine."
64,Winifikacja,"zbiór procesów i czynności wykonywanych przez producenta przy tworzeniu wina. Istnieje wiele możliwych do zrealizowania dróg tego procesu, a ich wybór zależy od zdolności i idei winiarza.",vinification,"a collection of processes and activities carried out by the producer when making wine. There are many possible ways to achieve this, and their choice depends on the ability and the idea of ​​the winemaker."
65,Wino wzmocnione,"wino gronowe, którego alkoholowość została podniesiona poprzez dodanie mocnego czystego alkoholu, zazwyczaj spirytusu gronowego. Takimi winami są m.in. porto, madera i marsala.",Wine fortified,"Grape wine whose alcoholic content has been raised by the addition of strong pure alcohol, usually grapefruit. Such wines are, among others. port, madeira and marsala."
