	Slowo	Opis	Slowo_Eng	Opis_Eng	Slowo_Hun	Opis_Hun
32	Grand Cru 	pochodzący z języka francuskiego termin określający winnicę najwyższej jakości, głównie w Burgundii, ale także Alzacji, Szampanii i innych.	Grand Cru	French term refers to the vineyard of the highest quality, mainly in Burgundy, but also Alsace, Champagne and other.	Grand Cru	A francia kifejezés a legmagasabb minőségű szőlőskertre vonatkozik, főleg Burgundia, de Elzász, Champagne és egyéb.
33	Keller	słowo oznaczające w Niemczech piwnicę win.	Keller	A word for the wine cellar in Germany.	Keller	Egy szó a borospince Németországban.
34	Klarowanie	technika oczyszczania wina znajdującego się w kadzi lub beczce. Do przeprowadzenia tej czynności używa się białek kurzych jaj lub bentonitu, które opadając na dno pojemnika wiążą i zabierają ze sobą zanieczyszczenia. 	clarification	technique of cleaning the wine in the vat or barrel. Eggs or bentonite proteins are used to carry out this activity, which, when dropped to the bottom of the container, binds and removes contaminants.	derítés	a bor tisztításának technikája a palackban vagy hordóban. Tojást vagy bentonit fehérjéket használnak fel erre a tevékenységre, amely a tartály aljára történő leeresztésekor megköti és eltávolítja a szennyeződéseket.
35	Kożuch	utworzona z pomielonych przed fermentacją gron masa, składająca się ze skórek, pestek i szypułek. Unosząc się na fermentującym moszczu, pozwala mu ługować ze swojego wnętrza polifenole, antocyjany, cukry i pozostałe związki ważne dla konstrukcji tworzącego się wina. 	Sheepskin coat	composed of grained pre-fermented grapes, consisting of skins, pips and stems. Raising on the fermenting must, it allows it to leach from its interior polyphenols, anthocyanins, sugars and other compounds important for the structure of the wine to be formed.	Rövid kabát	amely magokban, előbb erjesztett szőlőből áll, bőrből, levélből és szárakból áll. A fermentáló musten felemelve lehetővé teszi, hogy belsejében polifenolokból, antocianinokból, cukrokból és egyéb összetevőkből nyerjen ki belőle a bort.
36	Maceracja	proces polegający na utrzymywaniu kontaktu pomiędzy fermentującym moszczem a kożuchem, dzięki czemu możliwe jest ługowanie z kożucha związków ważnych dla końcowego kształtu wina.	Maceracja	The process of maintaining contact between fermenting must and sheepskin, so that it is possible to leach from the sheepskin of compounds important for the final shape of the wine.	Maceracja	Az erjesztő must és a báránybőr közötti érintkezés fenntartása, amely lehetővé teszi a borok végső formájához fontos vegyületek birkabőrének kiszűrését.
37	Mączniak	dość często spotykana choroba winorośli, przed którą winiarze mogą uchronić się stosując opryski środkami chemicznymi. Znane są dwie odmiany tej choroby: mączniak rzekomy i mączniak prawdziwy.	Powdery mildew	A very common vine disease, which can be protected by chemical spraying. There are two variants of this disease: powdery mildew and powdery mildew.	Lepkék penész	Nagyon gyakori szőlőbetegség, amely kémiai permetezéssel védhető. Ennek a betegségnek két változata van: a lisztharmat és a lisztharmat.
38	Mezoklimat	określenie warunków klimatycznych dotyczących małego obszaru, często pojedynczej winnicy, stanowiący ważny składnik jego terroir.	Mezoklimat	Determine the climatic conditions of a small area, often a single vineyard, which is an important component of its terroir.	Mezoklimat	Határozza meg egy kis terület klimatikus feltételeit, gyakran egy szőlőskertet, amely a terroir fontos eleme.
39	Mieszanie kożucha	czynność mająca na celu stworzenie fermentującemu moszczowi dodatkowej możliwości ługowania związków zawartych w kożuchu. Polega na zanurzaniu (mechanicznym lub manualnym) kożucha w moszczu.	Mixing sheepskin	The activity intended to create a fermenting must has the additional leaching potential of the compounds contained in the sheepskin. It depends on the immersion (mechanical or manual) sheepskin in the must.	A báránybőr keverését	A fermentlé előállítására irányuló aktivitás a juhtejben található vegyületek további kioldódási potenciálja. Ez az ovális (mechanikus vagy kézi) merítőkanál függ.
40	Millerandange 	pochodzący z języka francuskiego termin określający zjawisko nierównomiernego zawiązywania się owoców w jednej kiści.	Millerandange	French term refers to the phenomenon of unevenly forming fruit in one bunch.	Millerandange	A francia kifejezés olyan jelenségre utal, amely egyenetlenül alakítja a gyümölcsöt egy csomóban.
41	Moszcz	skoncentrowany sok uzyskany po odciśnięciu lub zmieleniu gron, będący bazą do uzyskania wina, po zaszczepieniu w nim kultur drożdży zdolnych go przefermentować.	grape	concentrated juice obtained after squeezing or grinding the grapes, which is the basis for obtaining wine, after inoculating the cultures of yeast capable of digesting it.	szőlő	a szőlő összenyomásával vagy őrlésével nyert koncentrált gyümölcslé, amely a bor megszerzésének alapja, az élesztő kultúrájának beoltása után, amely képes megemészteni azt.
42	Negociant	słowo pochodzące z języka francuskiego, oznaczające kupca i dystrybutora, często także samodzielnie zestawiającego i butelkującego zakupione od producentów wina.	Trader	a word derived from the French language, meaning a merchant and a distributor, often also self-organizing and bottling purchased from wine producers.	Kereskedő	egy szó a francia nyelvből származik, azaz egy kereskedő és egy forgalmazó, gyakran önszerveződő és palackozott bortermelőktől vásárolt.
43	NV	non vintage, pochodzący z języka francuskiego termin najczęściej używany przez producentów win musujących, oznaczający użycie w cuvee win z różnych roczników.	NV	Non vintage, derived from the French term most often used by manufacturers of sparkling wines, meaning the use in cuvee wines of various vintages.	NV	Nem évjárat, amely a francia kifejezésből származik, amelyet leginkább a pezsgőgyártók használnak, vagyis a különböző évjáratokból származó cuvee borokat.
44	Obciąg	czynność polegająca na przemieszczeniu dojrzewającego wina z jednego pojemnika (kadzi lub beczki) do drugiego. Ma na celu pozostawienie osadu powstałego w czasie dojrzewania w pierwszym pojemniku i natlenienie wina w celu uniknięcia redukcji jego aromatów.	blanket	the act of moving the ripening wine from one container (ladle or barrel) to another. It is intended to leave the precipitate formed during ripening in the first container and to oxygenate the wine to avoid reducing its aroma.	takaró	hogy az érlelő bort egy tartályból (üreg vagy hordó) áthelyezi a másikba. Az érlelés során kialakult csapadékot az első tartályban hagyni kell, és a bort az oxigénnel kell ellátni, hogy elkerülje annak aromáját.
45	Odkwaszanie	proces mający na celu obniżenie stężenia kwasów w winie lub moszczu za pomocą wody lub kredy. Najczęściej stosowany w chłodnych regionach winiarskich lub zimnych rocznikach.	deacidification	A process to reduce the concentration of acids in wine or must by means of water or chalk. Most commonly used in cold wine regions or cold vintages.	savcsökkentés	A víz vagy kréta segítségével a savak koncentrációjának csökkentése. Leggyakrabban a hideg borvidékeken vagy a hideg évjáratokban.
46	Oeschle	niemiecka jednostka stężenia cukru rezydualnego w moszczu. Bezpośrednio związana z dojrzałością gron i potencjalną możliwą alkoholowością wina.	Oeschle	German unit of residual sugar in must. Directly related to the maturity of the bunch and the potential alcoholic potential of the wine.	Oeschle	Német maradékcukor egység a must-ban. Közvetlenül a csokor érettségéhez és a bor potenciális alkoholtartalmához.
47	Osad 	wynik opadania substancji stałych znajdujących się w winie lub powstających w czasie jego dojrzewania. Starzenie nad osadem (z języka francuskiego 	Parts of it	the result of the falling of the solids present in the wine or arising during its ripening. Aging of the settlement (from French	Részei	a borban lévő vagy az érés során keletkező szilárd anyagok csökkenésének eredménye. A település öregedése (francia
48	pH 	poprzedzony wartością cyfrową symbol oznaczenia stężenia kwasów w winie. Im wyższa jego wartość tym niższy jest poziom kwasowości wina. Najczęściej spotykaną wartością dla win wytrawnych jest przedział pomiędzy 3pH a 4pH.	pH	preceded by a digital value symbol of the concentration of acids in wine. The higher the value, the lower the wine's acidity. The most common value for dry wines is the range between 3pH and 4pH.	pH	amelyet a borban levő savak koncentrációjának digitális értéke jelez. Minél magasabb az érték, annál alacsonyabb a bor savtartalma. A száraz borok legelterjedtebb értéke a 3pH és a 4pH közötti tartomány.
49	Piece	najczęściej dębowa beczka pochodząca z Burgundii, obecnie popularna na całym świecie. Jej pojemność wynosi 228l. Potrafi wyraźnie zmienić kształt i smak wina, szczególnie, gdy jest nowa.	Piece	Mostly oak barrel originating from Burgundy, now popular all over the world. Its capacity is 228l. He can clearly change the shape and taste of wine, especially when it is new.	Darab	A legtöbb burgundi tölgyfahordó, amely világszerte népszerű. Kapacitása 228l. Világosan megváltoztathatja a bor formáját és ízét, különösen akkor, ha új.
50	Podkładka	część krzewu winorośli jednej rodziny, na której szczepi się część owocującą. Ma to na celu ochronę przed filokserą, ale także wykorzystanie jej indywidualnych cech, takich jak odporność na niskie temperatury podłoża.	Pad	a part of the vine of one family, on which the fruiting part is grafted. This is to protect against the phylloxera, but also to use its individual features such as resistance to low substrate temperatures.	Párna	egy család szőlőjének egy része, amelyen a gyümölcsrészet oltják. Ez a filoxéra elleni védelem, de az egyedi jellemzők, például az alacsony szubsztrátumhőmérséklet ellenállóképessége is.
51	Polifenole	związki chemiczne będące pochodnymi fenolu, występujące zarówno w gronach i szypułkach jak i winie. Są ważne dla konstrukcji wina, szczególnie czerwonego, a także mają właściwości zdrowotne poprzez wiązanie wolnych rodników w organizmie ludzkim.	Polyphenols	Phenol-derived chemical compounds found in both clusters and stems and wine. They are important for the construction of wine, especially red, and also have health benefits by binding free radicals in the human body.	A polifenolok	Fenolból származó kémiai vegyületek mind a klaszterekben, mind a szárakban és a borban. Fontosak a borkészítés szempontjából, különösen vörösek, és egészségüket is előnyösek az emberi szervezet szabad gyökök kötésével.
52	Premier cru	pochodzący z języka francuskiego termin oznaczający winnice wyższej jakości, najczęściej używany przez producentów win w Szampanii i Burgundii.	Premier Cru	French term refers to the vineyards of higher quality, most often used by winemakers in Champagne and Burgundy.	Premier Cru	A francia kifejezés a magasabb minőségű szőlőültetvényekre utal, amelyeket leggyakrabban a bortermelők használnak Champagne-ban és Burgundy-ban.
53	Pumping over	Czynność polegająca na przepompowywaniu podczas fermentacji moszczu i wlewaniu go od góry na kożuch pozostający w dolnej partii kadzi fermentacyjnej. Ma na celu umożliwienie mocniejszego ługowania z kożucha związków potrzebnych dla konstrukcji wina.	Pumping over	The action of pumping during the fermentation of the must and pouring it from the top to the sheepskin remaining in the bottom of the fermentation ladle. It is intended to enable the leavening of the compounds necessary for the construction of the wine.	Szivattyúzás	A szivattyúzás hatása a must erjedése közben, és a tetejétől az erjesztési üst alján maradt báránybőrig. Célja, hogy lehetővé tegye a bor elkészítéséhez szükséges vegyületek kelesztését.
54	Sedymentacja	proces polegający na schłodzeniu moszczu i pozostawieniu go przez określony czas w kadzi sedymentacyjnej, aby zanieczyszczenia w nim zawarte mogły opaść na dno zbiornika. Następnie przepompowuje się moszcz do kadzi fermentacyjnej.	sedimentation	The process consists in cooling the must and leaving it for a certain time in the sediment ladle so that the impurities contained in it can fall to the bottom of the tank. Then the must is pumped into the fermenter.	ülepítés	Az eljárás a must hűtését jelenti, és egy bizonyos ideig az üledék üregében hagyja úgy, hogy a benne lévő szennyeződések a tartály aljára esnek. Ezután a must átszivattyúzódik a fermentorba.
55	Siarczki	związki chemiczne będące pochodnymi siarkowodoru. Ich nadmierna obecność może doprowadzić do odtlenienia wina i wprowadzić w miejsce jego naturalnych aromatów zapachu przypominającego zepsute kurze jajo.	sulphides	Chemical compounds that are derived from hydrogen sulphide. Their excessive presence can lead to deoxidation of the wine and introduce in the place of its natural aroma odor reminiscent of broken egg hen.	szulfidok	Kémiai vegyületek, amelyek hidrogén-szulfidból származnak. A túlzott jelenlétük a bor deoxidációjához vezethet, és a természetes, illatos szagú helyekbe helyezi a törött tyúkokra emlékeztető helyet.
56	Stabilizowanie	proces polegający na przeprowadzeniu szeregu czynności mających ustabilizować wino, m.in. filtrowanie, sedymentację czy dokwaszanie.	Stabilizowanie	The process consists of carrying out a series of activities aimed at stabilizing the wine, among others. filtration, sedimentation or acidification.	Stabilizowanie	A folyamat többek között a bor stabilizálására irányuló tevékenységsorozatból áll. szűrés, ülepítés vagy savanyítás.
57	Szaptalizacja	dosładzanie moszczu przed fermentacją, mające na celu podwyższenie jego potencjalnej alkoholowości i zmianę końcowego smaku. Dozwolona w chłodniejszych strefach winiarskich przy produkcji win stołowych i regionalnych.	chaptalisation	To ferment must before fermentation, to increase its potential alcoholic strength and change the final taste. Allowed in colder wine zones for the production of table and regional wines.	szárazcukrozás	Az erjedés előtt fermentálni kell, hogy növelje potenciális alkoholtartalmát és megváltoztassa a végső ízlést. A hideg borvidéken megengedett asztali és regionális borok előállítására.
58	Tanina	polifenole (pochodne fenolu) występujące w winie, głównie czerwonym. Są ługowane ze skórek, pestek i szypułek podczas procesu maceracji. Dają winu potencjał do dojrzewania, w czasie którego ich właściwości ściągające ulegają stopniowemu łagodzeniu.	Tanina	Polyphenols (phenol derivatives) found in wine, mainly red. They are leached from skins, pips and stems during maceration. They give the wine the potential to ripen, during which their astringent properties are gradually softened.	ezt	Polifenolok (fenolszármazékok), amelyek főleg vörösek. Bőrökből, pipereiből és szárakból kiszáradnak. Adják a bornak az érlelés lehetőségét, amely alatt fokozatosan lágyulnak a fanyar tulajdonságaik.
59	Tłoczenie	czynność wykonywana na surowcu pozostałym po uzyskaniu samocieku. Za pomocą pras grona są wyciskane w celu uzyskania pozostałego w nich soku, który zawiera wyższą proporcję tanin i używany jest do produkcji win niższej jakości.	expression	action on raw material remaining after obtaining a loner. Pressed grapes are squeezed to obtain the remaining juice, which contains a higher proportion of tannin and is used to produce lower quality wines.	kifejezés	cselekvés a nyersanyag után megmaradt magányos. A préselt szőlőcsíkokat összenyomják, hogy megmaradjon a maradék lé, amely nagyobb arányban tartalmaz tanninot, és alacsonyabb minőségű borokat készít.
60	Vendange tardive	pochodzący z języka francuskiego termin oznaczający opóźniony zbiór gron, mający na celu ubytek wody, koncentrację cukrów i pozostałych związków odpowiedzialnych za jakość moszczu. Oznaczany także w innych językach np. 	Late harvest	French word for delayed harvesting of grapes intended for the loss of water, concentration of sugars and other compounds responsible for the quality of the must. Also referred to in other languages,	Késő szüret	Francia szó a víz elvesztésére szánt szőlő késedelmes betakarítására, a cukrok koncentrációjára és a must minőségi minőségéért felelős egyéb vegyületekről. Más nyelveken is említik,
61	Vielles vignes	pochodzący z języka francuskiego termin oznaczający użycie do produkcji wina gron wyższej jakości pochodzących ze starych krzewów, często nawet kilkudziesięcioletnich. W innych językach oznaczany: 	Old vines	French term refers to the use of higher quality grape wines from old bushes, often up to several decades. In other languages:	Régi szőlő	A francia kifejezés a régi bokroktól, gyakran akár több évtizedig jó minőségű szőlőborok használatát jelenti. Más nyelveken:
62	Weingut	słowo oznaczające w Niemczech producenta win.	winery	A word meaning a wine producer in Germany.	pincészet	Egy szó, amely német bortermelő.
63	Winiarstwo organiczne	sposób prowadzenia winnic i przebiegu winifikacji bez użycia środków chemicznych, jedynie za pomocą dostępnych środków biologicznych oraz tradycyjnych metod fermentacji i dojrzewania wina. 	Organic Winery	the way of running vineyards and vinification without the use of chemicals, only by means of available biological means and traditional methods of fermentation and ripening of wine.	Szerves borászat	a szőlőültetvények és a szőlőművelés módja a vegyi anyagok használata nélkül, kizárólag a rendelkezésre álló biológiai eszközökkel és a hagyományos fermentációs és érlelési módszerek segítségével.
